user_id,Q1,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Downlink Throughput(Kbps)_log,Uplink Throughput(Kbps)_log,Downlink TCP Retransmission Rate(%)_log,Video Streaming Download Throughput(Kbps)_log,Video Streaming xKB Start Delay(ms)_log,Web Page Download Throughput(Kbps)_log,Web Average TCP RTT(ms)_log
77,3,223.01968,1702.7100000001,322.8300000001,0.7400000001,4619.3500000001,1989.0000000001,1994.0200000001,71.0000000001,0,0,1,0,0,0,0,7.439976378434606,5.77712586888072,-0.3011050926487865,8.438009281536976,7.595387278854022,7.5979079805618035,4.262679877042724
78,10,627.04135,324.9500000001,31.810000000099997,3.3300000001,2826.0400000001,2164.0000000001,844.7000000001001,415.0000000001,0,0,0,0,0,0,0,5.783671324340665,3.4597807057641963,1.2029723040223825,7.9466317174260075,7.679713639966418,6.738981534733569,6.0282785202309395
79,10,408.76574,1028.1100000001,506.71000000009997,0.5300000001,5001.8500000001,2780.0000000001,2012.2000000001,175.0000000001,0,0,0,0,0,0,0,6.935477444181751,6.227938847831032,-0.6348782722472902,8.517563122983137,7.930206206684718,7.606983929858,5.164785973924086
80,10,646.53669,5003.0800000001,376.0600000001,0.6400000001,7552.4700000001,1175.0000000001,3124.3100000001,69.0000000001,0,0,0,0,0,0,0,8.517809001766137,5.9297487051275946,-0.44628710247216946,8.929629941058314,7.069023426578345,8.046968737790625,4.234106504598708
81,5,567.03467,1049.7200000001,149.6200000001,1.2900000001,1925.9100000001001,1263.0000000001,761.1300000001,475.0000000001,0,0,0,0,0,0,0,6.9562787409231195,5.008098746444928,0.25464221845110013,7.563153862294328,7.14124512235057,6.634804171130481,6.163314804034852
82,1,286.58871,3351.4400000001,599.5700000001001,1.5600000001,5638.8700000001,1469.0000000001,2097.7300000001,121.0000000001,0,0,0,1,0,0,0,8.117145383206045,6.396212731621329,0.4446858213255483,8.637438969808526,7.2923371761739455,7.648611086680227,4.795790545597567
83,5,758.32914,2934.2300000001,231.69000000009999,1.2500000001,7256.1300000001,1638.0000000001,3280.8800000001,33.0000000001,0,0,0,0,0,0,0,7.984200346905236,5.445400271249714,0.22314355139420977,8.88960190784177,7.4012312644130756,8.095866958077101,3.4965075614695107
84,10,312.46178,1723.9600000001,75.5000000001,1.1100000001,11276.5500000001,879.0000000001,1947.0600000001,66.0000000001,0,0,0,0,0,0,0,7.452379249098381,4.324132656256303,0.10436001541433296,9.330480627206253,6.7787848976852905,7.574075821538414,4.18965474202794
85,1,683.1931,268.6600000001,64.9200000001,2.2900000001,881.1900000001001,2796.0000000001,378.3100000001,403.0000000001,0,0,0,0,0,0,0,5.593446639635239,4.173155742647931,0.8285518176098164,6.781273266702313,7.9359451033537365,5.9357139653369275,5.998936561946931
86,7,520.899,886.8600000001001,157.48000000009998,2.0500000001,4303.9200000001,3198.0000000001,613.1500000001,303.0000000001,1,0,1,1,1,0,0,6.787687134452149,5.0592984660761715,0.7178397931990972,8.367281514308301,8.070280893393932,6.418609604208198,5.713732805509699
87,5,429.77113,14457.0200000001,227.5900000001,0.17000000010000002,29670.670000000096,848.0000000001,2934.0000000001,50.0000000001,0,0,0,0,0,0,0,9.578935388720373,5.427545764556261,-1.77195684134364,10.297914294762297,6.742880635792021,7.9841219587029615,3.912023005430146
88,10,494.39228,1825.2800000001,151.14000000009997,0.1900000001,7780.8200000001,1531.0000000001,2164.2900000001,144.0000000001,0,0,0,0,0,0,0,7.5094886789058215,5.018206559593235,-1.660731206295335,8.959417010076006,7.333676395657749,7.6798476420783075,4.969813299576695
89,9,378.86336,737.1700000001,89.8300000001,0.9700000001,3447.1300000001,1791.0000000001,1362.9400000001,108.0000000001,0,0,0,0,0,0,0,6.602818530447955,4.4979189952422285,-0.030459207381615783,8.145297279759903,7.490529402060767,7.217399410184753,4.682131227125145
90,1,328.29042,145.2400000001,44.6500000001,0.8700000001,5366.7700000001005,1210.0000000001,3701.2900000001,112.0000000001,0,0,0,0,0,0,0,4.9783875465468235,3.798854307324748,-0.13926206721856513,8.58798151677748,7.09837563859087,8.216436686517174,4.718498871295988
91,3,568.15257,1160.2200000001,401.5500000001,1.1100000001,3430.3500000001,1504.0000000001,959.4500000001001,206.0000000001,1,0,1,1,1,0,0,7.056364921290641,5.9953320586347205,0.10436001541433296,8.140417575770531,7.315883504509852,6.866360203615856,5.327876168790066
